1770791364.774980,MOUSE,0,0,LEFT_DOWN
1770791364.815841,MOUSE,0,0,LEFT_UP
1770791364.841917,MOUSE,6,0,MOVE
1770791364.858584,MOUSE,7,1,MOVE
1770791364.875250,MOUSE,7,1,MOVE
1770791364.891917,MOUSE,7,0,MOVE
1770791364.908584,MOUSE,7,0,MOVE
1770791364.925250,MOUSE,7,-1,MOVE
1770791364.941917,MOUSE,8,0,MOVE
1770791364.958584,MOUSE,7,-1,MOVE
1770791364.975250,MOUSE,7,-1,MOVE
1770791364.991917,MOUSE,8,-2,MOVE
1770791365.008584,MOUSE,7,-1,MOVE
1770791365.025250,MOUSE,7,-2,MOVE
1770791365.041917,MOUSE,8,-2,MOVE
1770791365.058583,MOUSE,7,-2,MOVE
1770791365.075250,MOUSE,8,-3,MOVE
1770791365.091917,MOUSE,7,-2,MOVE
1770791365.108583,MOUSE,8,-3,MOVE
1770791365.125250,MOUSE,7,-3,MOVE
1770791365.141917,MOUSE,7,-3,MOVE
1770791365.158583,MOUSE,8,-4,MOVE
1770791365.175250,MOUSE,7,-3,MOVE
1770791365.191917,MOUSE,7,-4,MOVE
1770791365.208583,MOUSE,7,-4,MOVE
1770791365.225250,MOUSE,8,-4,MOVE
1770791365.241917,MOUSE,7,-5,MOVE
1770791365.258583,MOUSE,7,-4,MOVE
1770791365.275250,MOUSE,7,-5,MOVE
1770791365.291917,MOUSE,6,-4,MOVE
1770791365.308583,MOUSE,7,-5,MOVE
1770791365.325250,MOUSE,7,-5,MOVE
1770791365.341917,MOUSE,6,-6,MOVE
1770791365.358583,MOUSE,7,-5,MOVE
1770791365.375250,MOUSE,6,-5,MOVE
1770791365.391917,MOUSE,6,-6,MOVE
1770791365.408583,MOUSE,6,-6,MOVE
1770791365.425250,MOUSE,6,-5,MOVE
1770791365.441916,MOUSE,6,-6,MOVE
1770791365.458583,MOUSE,5,-6,MOVE
1770791365.475250,MOUSE,5,-6,MOVE
1770791365.491916,MOUSE,6,-6,MOVE
1770791365.508583,MOUSE,5,-7,MOVE
1770791365.525250,MOUSE,4,-6,MOVE
1770791365.541916,MOUSE,5,-6,MOVE
1770791365.558583,MOUSE,5,-7,MOVE
1770791365.575250,MOUSE,4,-6,MOVE
1770791365.591916,MOUSE,4,-7,MOVE
1770791365.608583,MOUSE,4,-7,MOVE
1770791365.625250,MOUSE,3,-6,MOVE
1770791365.641916,MOUSE,4,-7,MOVE
1770791365.658583,MOUSE,3,-7,MOVE
1770791365.675250,MOUSE,2,-7,MOVE
1770791365.691916,MOUSE,3,-6,MOVE
1770791365.708583,MOUSE,2,-7,MOVE
1770791365.725250,MOUSE,2,-7,MOVE
1770791365.741916,MOUSE,2,-7,MOVE
1770791365.758583,MOUSE,2,-7,MOVE
1770791365.775249,MOUSE,1,-7,MOVE
1770791365.791916,MOUSE,1,-7,MOVE
1770791365.808583,MOUSE,0,-7,MOVE
1770791365.825249,MOUSE,1,-7,MOVE
1770791365.841916,MOUSE,0,-7,MOVE
1770791365.858583,MOUSE,-1,-7,MOVE
1770791365.875249,MOUSE,0,-6,MOVE
1770791365.891916,MOUSE,0,0,LEFT_DOWN
1770791365.913921,MOUSE,0,0,LEFT_UP
1770791366.026894,MOUSE,0,-4,MOVE
1770791366.043561,MOUSE,0,-3,MOVE
